countrycode,country,year,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_capital_factor_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,residual
IRN,Iran (Islamic Republic of),2010,0.16820000000000002,0.22390000000000002,0.4252,0.1827,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4048169355494413,68204.52640723057,3.7494424087092746,2.1219894886016846,-0.551029897173084,-0.21898046052325848,0.02266904245430279,0.011334521227151393,-0.5564525066786091,-0.7640984459747162,-0.5451179854514577,0.21306854880163217
IRQ,Iraq,2010,0.2809,0.32880000000000004,0.24760000000000001,0.1427,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.178747999116089,60803.40520691866,1.5555149702759148,2.173938512802124,-0.6658950353310757,-0.3177038434207484,-0.8571314340597891,-0.4285657170298945,-0.5322660880051812,-1.278535648455824,-0.9608318050350757,0.6126406131247484
ISL,Iceland,2010,0.015301530153015303,0.3497349734973497,0.3584358435843585,0.27652765276527647,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.557080282513677,84428.82651043439,4.613031442350626,3.0527257919311523,-0.3376319398072205,-0.15758814994256942,0.22994712512182036,0.11497356256091017,-0.19277169954679563,-0.23538628692845487,-0.07779813698588546,-0.10224565287876564
ISR,Israel,2010,0.0305,0.1184,0.41859999999999997,0.4325,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.811227018947201,71020.63564691429,3.337213316096679,3.539247989654541,-0.5105703517004905,-0.06283319332538762,-0.09380197322335948,-0.04690098661167973,-0.044892321046755335,-0.1546265009838227,-0.09179330765843507,-0.3559438507166678
ITA,Italy,2010,0.063006300630063,0.19871987198719873,0.6169616961696169,0.12131213121312132,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4638427631342488,92488.26363273102,5.4541055407060846,2.996690273284912,-0.24645907260529754,-0.19473201293713294,0.3974305398391702,0.19871526991958507,-0.21129815591446732,-0.20731489893201518,-0.012582885994882248,-0.03914417367328238
JAM,Jamaica,2010,0.0521052105210521,0.2259225922592259,0.5746574657465746,0.14731473147314733,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.481256363852316,19337.72291031801,7.455651490967538,2.549626350402832,-1.811483086235187,-0.18768921268235295,0.7100342387380285,0.3550171193690142,-0.3728597741444406,-0.20553186745777935,-0.017842654775426403,-1.6059512187774077
JOR,Jordan,2010,0.1012,0.1577,0.5793,0.1618,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4910983814017116,42468.008101181484,3.7371188510702695,2.7801027297973633,-1.0247897875166476,-0.1837305126672779,0.019376858408224118,0.009688429204112057,-0.2863187131402105,-0.46036079660337637,-0.27663028393609845,-0.5644289909132713
JPN,Japan,2010,0.0012,0.12710000000000002,0.5704,0.3013,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7220341962934014,77477.71874108656,5.160462998336938,3.4973220825195312,-0.423550434519413,-0.09507477582957446,0.34208820836644227,0.1710441041832211,-0.056809036962434334,0.01916029139121231,0.11423506722078677,-0.4427107259106253
KAZ,Kazakhstan,2010,0.00039996000399960006,0.030396960303969604,0.7409259074092591,0.2282771722827717,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.716150620153757,42035.31348688724,2.332964509909556,3.2301177978515625,-1.0350307671094647,-0.09723857814002368,-0.4517983147499012,-0.22589915737495056,-0.13628798683188603,-0.4594257223468603,-0.3621871442068366,-0.5756050447626044
KEN,Kenya,2010,0.2648,0.4445,0.2115,0.07919999999999999,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.042308974356936,6196.157621957168,2.4366470229182133,2.165915012359619,-2.9496114678877987,-0.3823732249375731,-0.4083151721303423,-0.20415758606517112,-0.5359636826532784,-1.1224944936560226,-0.7401212687184495,-1.8271169742317763
KGZ,Kyrgyzstan,2010,0.01,0.0337,0.7774,0.1789,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.663691777572055,8621.898486164464,1.65481634912542,3.1568760871887207,-2.6192355269872927,-0.1167411960342839,-0.7952480600856707,-0.3976240300428353,-0.1592236346967666,-0.6735888607738858,-0.5568476647396019,-1.9456466662134067
KHM,Cambodia,2010,0.28332833283328335,0.5616561656165616,0.1346134613461346,0.020402040204020404,0.9999999999999999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8575241560586002,4659.2923356317215,2.1299330072846607,1.7256673574447632,-3.234677252128357,-0.47720974077637046,-0.542847568213875,-0.27142378410693746,-0.7631927437765831,-1.511826268659891,-1.0346165278835207,-1.722850983468466
